CODE,LISTED.NAME,BOARD.LOT
630,AMCO UNITED,10000
631,SANY INT'L,1000
632,PEARLORIENT OIL,1000
633,CH ALL ACCESS,2000
635,PLAYMATES,2000
636,KERRY LOG NET,500
637,LEE KEE,2000
638,KIN YAT HOLD,2000
639,SHOUGANG RES,2000
640,INFINITY DEV,4000
641,CHTC FONG'S,2000
642,PALADIN PREF,10000
643,CARRY WEALTH,10000
645,ARES ASIA,2000
646,CHINA ENV TEC,8000
647,JOYCE BOUTIQUE,2000
648,WAH YAN HEALTH,2500
650,SHUN CHEONG,10000
651,CHI OCEAN IND,5000
653,BONJOUR HOLD,2000
655,HK CHINESE LTD,2000
656,FOSUN INTL,500
657,G-VISION INT'L,2000
658,C TRANSMISSION,1000
659,NWS HOLDINGS,1000
660,WAI CHUN MINING,10000
661,CDAYENONFER,2000
662,ASIA FINANCIAL,2000
663,KING STONE ENGY,1000
665,HAITONG INT'L,2000
668,DOYEN INTL HOLD,2000
669,TECHTRONIC IND,500
670,CHINA EAST AIR,2000
672,ZHONGAN REALEST,1000
673,CHINA HEALTH,3000
674,CULTURELANDMARK,4000
675,K & P INT'L,2000
676,PEGASUS INT'L,2000
677,GOLDEN RES DEV,2000
678,GENTING HK,1000
679,ASIA TELE-NET,10000
680,NAN HAI CORP,50000
681,CHI PEOPLE HOLD,2000
682,CHAODA MODERN,2000
683,KERRY PPT,500
684,ALLAN INT'L,2000
685,MEDIA CHINESE,1000
686,UNITED PV,2000
687,TYSAN HOLDINGS,2000
688,CHINA OVERSEAS,2000
689,EPI (HOLDINGS),15000
690,UNI-BIO GROUP,20000
691,SHANSHUI CEMENT,1000
692,CHINA HOUSEHOLD,5000
693,TAN CHONG INT'L,3000
694,BEIJING AIRPORT,2000
695,DONGWU CEMENT,2000
696,TRAVELSKY TECH,1000
697,SHOUGANG INT'L,2000
698,TONGDA GROUP,10000
699,CAR INC,1000
700,TENCENT,100
701,CNT GROUP,2000
702,SINO OIL & GAS,5000
703,FUTURE BRIGHT,6000
704,HUSCOKE RES,10000
705,DINGHE MINING,12000
706,BEAUTI C HOLD,10000
707,CO-PROSPERITY,2000
708,EVERG HEALTH,5000
709,GIORDANO INT'L,2000
710,VARITRONIX INTL,1000
711,CHINA CITY CONS,2000
712,COMTEC SOLAR,2000
713,WORLD HOUSEWARE,2000
715,CHINA OCEANWIDE,2000
716,SINGAMAS CONT,2000
717,EMPEROR CAPITAL,6000
718,BESTWAY INT'L,5000
719,SHANDONG XINHUA,2000
720,AUTO ITALIA,25000
722,UMP,2000
723,SUSTAIN FOREST,60000
724,SINO-TECH INT'L,10000
725,PERENNIAL INT'L,2000
726,CM DRAWIN TECH,20000
727,CROWNICORP,10000
728,CHINA TELECOM,2000
729,FDG EVEHICLES,5000
730,SHOUGANG GRAND,1000
731,SAMSON PAPER,2000
732,TRULY INT'L,2000
733,HOPEFLUENT,2000
735,C P NEW ENERGY,500
736,CHINA PPT INV,3000
737,HOPEWELL INFR,500
738,LE SAUNDA,2000
743,ASIA CEMENT CH,500
745,CN CULTURE GP,10000
746,L & M CHEMICAL,2000
747,SHENYANG PUBLIC,2000
750,SINGYES SOLAR,1000
751,SKYWORTHDIGITAL,2000
752,PICO FAR EAST,2000
753,AIR CHINA,2000
754,HOPSON DEV HOLD,2000
